2434,FORWARD_3S,582,595.00,605.59,582.00,583.83,2.94,-0.13,0.06,2.94,0.45,-1.20,-1.29,-1.08,-1.20,-1.29
2492,FORWARD_3S,563,574.00,584.86,563.00,562.50,-0.54,1.59,0.19,-0.54,1.46,-1.16,-1.16,-1.09,-1.16,-1.19
2549,FORWARD_3S,542,554.00,564.26,542.00,542.75,-2.64,-2.64,-1.69,-2.64,-1.75,-1.35,-1.28,-1.11,-1.35,-1.25
2608,FORWARD_3S,519,525.00,540.45,519.00,518.33,-5.63,-2.64,-2.69,0.34,-3.86,-1.49,-1.35,-1.13,-1.49,-1.40
2666,FORWARD_3S,504,509.00,521.32,504.00,499.50,-0.69,-1.16,-1.45,-0.69,-2.47,-1.53,-1.52,-1.17,-1.53,-1.56
2723,FORWARD_3S,481,482.00,499.62,481.00,477.67,-1.76,-1.76,-2.02,-1.76,-1.81,-1.67,-1.63,-1.21,-1.67,-1.68
2782,FORWARD_3S,458,471.00,480.22,458.00,459.67,-2.45,-1.76,-1.47,-2.45,-1.00,-1.68,-1.67,-1.25,-1.68,-1.71
2840,FORWARD_3S,438,449.00,459.98,438.00,438.42,2.29,0.86,0.51,2.29,1.08,-1.57,-1.65,-1.29,-1.57,-1.65
2897,FORWARD_3S,420,430.00,440.71,420.00,420.42,0.79,0.79,0.07,0.79,0.98,-1.59,-1.59,-1.32,-1.59,-1.60
2956,FORWARD_3S,399,408.00,420.32,399.00,398.75,-0.77,0.79,0.16,-0.77,0.20,-1.55,-1.55,-1.34,-1.55,-1.55
3014,FORWARD_3S,373,391.00,398.96,373.00,377.17,-1.53,-0.77,0.14,-1.53,0.30,-1.49,-1.49,-1.35,-1.49,-1.48
3073,FORWARD_3S,355,366.00,377.11,355.00,354.92,0.97,-0.08,0.33,0.97,0.71,-1.45,-1.49,-1.36,-1.45,-1.44
3130,FORWARD_3S,335,344.00,355.82,335.00,333.83,-3.05,-1.00,-0.90,-3.05,-1.72,-1.56,-1.48,-1.37,-1.56,-1.49
3188,FORWARD_3S,310,325.00,334.17,310.00,311.92,-0.27,-0.53,-0.63,-0.27,-1.57,-1.57,-1.57,-1.39,-1.57,-1.57
3247,FORWARD_3S,293,305.00,314.31,293.00,292.75,-2.99,-2.28,-1.55,-2.99,-2.48,-1.71,-1.63,-1.41,-1.71,-1.67
3304,FORWARD_3S,273,284.00,294.47,273.00,273.08,-0.60,-0.60,-0.39,-0.60,-0.02,-1.64,-1.64,-1.43,-1.64,-1.68
3362,TURN_90,250,262.00,273.10,250.00,251.50,6.19,-0.60,1.24,-0.92,2.46,-1.47,-1.64,-1.44,-1.47,-1.60
3421,TURN_90,230,242.00,252.23,230.00,230.17,-7.26,-4.43,-4.55,-7.26,-2.53,-1.80,-1.59,-1.46,-1.80,-1.65
3478,TURN_90,214,222.00,233.24,214.00,211.75,-28.26,-28.26,-26.81,-7.26,-23.97,-3.46,-2.64,-1.58,-3.46,-2.75
3536,TURN_90,202,209.00,218.53,202.00,199.00,-32.23,-32.23,-31.84,-32.23,-37.14,-5.32,-4.39,-1.98,-5.32,-4.74
3595,TURN_90,185,195.00,204.22,185.00,185.75,-31.25,-32.23,-32.06,-31.25,-38.67,-7.19,-6.29,-3.04,-7.19,-7.03
3652,TURN_90,176,184.00,192.45,176.00,175.42,-34.72,-34.72,-33.98,-34.72,-35.23,-9.22,-8.21,-5.33,-9.22,-9.14
3710,TURN_90,171,171.00,182.68,171.00,166.67,-37.90,-37.90,-36.89,-37.90,-37.97,-11.45,-10.35,-8.49,-11.45,-11.32
3769,TURN_90,160,167.00,174.52,160.00,160.33,-41.21,-38.87,-39.18,-41.21,-40.82,-13.77,-12.57,-11.42,-13.77,-13.64
3827,TURN_90,155,159.00,167.47,155.00,154.33,-39.74,-40.95,-39.88,-39.74,-41.30,-16.10,-14.94,-13.94,-16.10,-16.04
3885,TURN_90,151,154.00,161.81,151.00,150.08,-45.33,-44.17,-42.89,-45.33,-44.12,-18.69,-17.37,-16.38,-18.69,-18.56
3943,TURN_90,152,151.00,158.24,152.00,148.83,-51.78,-48.43,-49.04,-51.78,-49.81,-21.59,-20.08,-19.04,-21.59,-21.36
4001,TURN_90,151,151.00,155.56,151.00,148.58,-49.51,-51.78,-50.18,-49.51,-52.68,-24.53,-23.09,-21.97,-24.53,-24.39
4059,TURN_90,153,151.00,154.61,153.00,150.92,-44.48,-49.51,-48.22,-49.84,-49.40,-27.24,-25.97,-24.86,-27.24,-27.33
4117,TURN_90,155,155.00,154.81,155.00,154.75,-49.86,-48.11,-48.72,-49.86,-47.98,-30.08,-28.65,-27.65,-30.08,-30.12
4175,TURN_90,161,158.00,155.70,161.00,160.00,-43.10,-45.34,-45.81,-43.10,-44.44,-32.64,-31.40,-30.34,-32.64,-32.74
4234,TURN_90,164,163.00,157.13,164.00,164.25,-41.29,-43.10,-43.70,-41.29,-42.57,-35.13,-33.93,-32.87,-35.13,-35.25
4291,TURN_90,172,166.00,159.36,172.00,169.67,-40.05,-40.05,-40.90,-40.05,-39.06,-37.43,-36.27,-35.23,-37.43,-37.56
4349,TURN_90,176,172.00,162.43,176.00,175.25,-35.05,-40.05,-38.69,-40.22,-36.91,-39.59,-38.59,-37.48,-39.59,-39.74
